UNITID,as_of_year,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,total_enrollment__last,undergrad_enrollment__last,total_enrollment__slope,total_enrollment__pct3,undergrad_share__last,endowment_per_student,revenue_per_student,tuition_per_student,log_total_enrollment,closed_within_horizon
100690,2016,6819566,7854250,12111063.0,3157036.0,7713852.0,140398.0,8779222.0,174804.0,0.0178754177674507,0.9821245822325492,3.836213144227687,-0.011087960062974897,0.9136235892358388,4.060303402831672,8.0,-1191312.9999997392,-317112.4999999239,-937214.4999998234,-0.23274932704078863,-0.07597258626148273,-0.1759424069739097,15.876565471847279,16.309629972941377,14.96514448745878,15.858528361307394,15.987898465112103,12.071426345913475,0.8682644428175829,830.0,415.0,-77.49999999998371,-0.15736040609137056,0.5,210.60722891566266,9462.951807228916,8216.344578313254,6.7226297948554485,0
100937,2016,14911414,40172676,180338012.0,67489767.0,46195262.0,-6022586.0,49613267.0,54221105.0,-0.1499174712682819,1.149917471268282,2.6720793390796564,-0.05910471718483876,1.059104717184839,2.6772751029913855,8.0,-4351998.499999058,530303.4999999186,-6634274.499998411,-0.17808079940301993,0.02349872841611396,-0.21100772598552178,17.508697645887466,19.01034349789837,18.02748655916738,17.64838781832762,17.71976885592341,17.808580800203732,0.37118299014982226,1382.0,1382.0,78.4999999999788,0.12816326530612246,1.0,39233.79522431259,29068.506512301014,10789.735166425471,7.232010331664759,0
101073,2016,3029816,9319418,14032537.0,4013510.0,11165980.0,-1846562.0,8333337.0,1046779.0,-0.1981413431611287,1.1981413431611287,3.496325410924602,-0.1415926443158065,1.1415926443158064,4.277161332826854,8.0,-1770516.499999636,-933090.9999997885,-1972025.4999995388,-0.27534283206708693,-0.14319818921833538,-0.32124512151933293,16.04761084566282,16.456889333794113,15.205176977299981,16.22838230325687,15.935774654164208,13.861229343609219,0.3251078554476256,538.0,538.0,-79.49999999998124,-0.22812051649928264,1.0,1945.685873605948,17322.338289962827,5631.628252788104,6.289715570908998,1
101189,2016,35249374,42434472,85351258.0,40116883.0,44744293.0,-2309821.0,32590004.0,17308614.0,-0.0544326556013233,1.0544326556013237,2.127564546826831,-0.026989222771231836,1.0269892227712318,2.11707556838611,8.0,-206037.49999989988,89525.4999999206,-1520069.499999567,-0.009617461122363023,0.004017727537528013,-0.08532491716353763,17.563471632315043,18.26228575812112,17.507307851042768,17.616474486175367,17.299516204235026,16.666714912397282,0.8306778036498251,4316.0,3384.0,213.99999999995097,0.11008230452674897,0.7840593141797961,4010.3368860055607,9831.898053753475,8167.139481000927,8.370315995555478,0
101435,2016,11228286,19614987,82088052.0,25742139.0,21224418.0,-1609431.0,9385301.0,46960612.0,-0.0820510867532055,1.0820510867532056,3.188859014396589,0.0649960475770797,0.9350039524229204,3.1059704291733286,8.0,-1483827.9999994957,585846.9999998647,1222558.9999997746,-0.13141313884296005,0.05843066508071422,0.3523131882833637,16.791804525848903,18.223303046172546,17.063639895759533,16.87066291640658,16.05465540649407,17.66481978706161,0.572434027103867,1311.0,1311.0,-52.99999999999403,-0.0748059280169372,1.0,35820.45156369184,14961.851258581235,8564.672768878718,7.179307969504034,0
101453,2016,578518,2982412,14360876.0,2746743.0,3091908.0,-109496.0,5715287.0,9741072.0,-0.0367139080717218,1.0367139080717218,5.228328969983722,0.14908172927748367,0.8509182707225164,5.658683770607986,8.0,-739935.4999998293,60791.99999998789,-210013.499999951,-0.3316398803034232,0.04093290832919237,-0.06846055474911308,14.908243262369488,16.480018192142907,14.825926768160997,14.944299257467222,15.558655247642115,16.091861833822126,0.19397655320592863,100.0,60.0,-5.49999999999834,-0.0990990990990991,0.6,97410.72,29824.12,5785.18,4.61512051684126,0
101541,2016,2169890,7693809,32475770.0,17063219.0,9438567.0,-1744758.0,4189829.0,14072037.0,-0.2267742804636819,1.226774280463682,1.9032616295905245,-0.0876005337424674,0.9782075746253333,2.0855438133345525,8.0,-2233114.9999994594,120671.99999998791,-1536421.4999996386,-0.3672874733378733,0.02624096425627605,-0.423100891792993,15.855926667422267,17.29600486157861,16.65243582782135,16.060314831699593,15.248170718282859,16.45970026579384,0.28203065607685346,474.0,474.0,46.99999999999083,0.24736842105263157,1.0,29687.8417721519,16231.664556962025,4577.827004219409,6.163314804034641,1
101675,2016,9714075,31076349,95670423.0,39238960.0,30715552.0,360797.0,54249392.0,19334286.0,0.0116100189246812,0.9883899810753188,2.4381487939537645,0.03402926292179067,0.9659707370782092,2.406645270536344,8.0,637569.9999998113,1411752.9999996487,499954.9999999001,0.042788196948653996,0.1012297914609778,0.018777835247298744,17.2519576376998,18.376419759545858,17.485180714227297,17.24027969665055,17.809102361382156,16.777390606212226,0.31258739564290516,2167.0,2167.0,73.99999999998332,0.07330361565131253,1.0,8922.143977849562,14340.724042455007,4482.729580064605,7.681560362559537,0
101693,2016,14236082,27347872,66756140.0,35833052.0,29164419.0,-1816547.0,11767060.0,20415369.0,-0.0664237056543192,1.066423705654319,1.8629766730447632,-0.0267653996895337,1.0267653996895338,1.9819765535488052,8.0,-747841.999999876,1237115.999999757,-2308417.4999994626,-0.05185504866320921,0.0927019357339085,-0.28179105151735895,17.124149314155396,18.016556851012894,17.394381293577467,17.18846003112145,16.28081474542175,16.83179860650006,0.520555383614491,1804.0,1653.0,-73.49999999998515,-0.07534597642234751,0.9162971175166297,11316.723392461197,15159.574279379158,7891.39800443459,7.498315870766981,0
101912,2016,21333870,53579750,93924759.0,17749201.0,52240860.0,1338890.0,72880524.0,13228594.0,0.0249887317503347,0.9750112682496652,5.291773922668407,0.0612290055006836,0.9387709944993162,4.872960753885358,8.0,-873704.4999996575,285111.99999994505,3277323.9999993113,-0.03158320491388325,0.011035745718322491,0.09882489904844981,17.7966817748135,18.358004594190806,16.69185111512859,17.771375524419906,18.104332014512423,16.397891332416958,0.39817039086595213,1930.0,1874.0,-66.49999999998118,-0.06446921958313136,0.9709844559585492,6854.19378238342,27761.528497409327,11053.81865284974,7.565793282428515,0
