UNITID,year,total_enrollment,undergrad_enrollment,grad_enrollment,XEYTOTLT_total
107141,2014,2977.0,2279.0,698.0,R
107211,2014,39.0,39.0,,R
107220,2014,494.0,494.0,,R
107293,2014,147.0,147.0,,R
107318,2014,2506.0,2506.0,,R
107327,2014,1963.0,1963.0,,R
107363,2014,86.0,86.0,,R
107442,2014,94.0,94.0,,R
107460,2014,2813.0,2813.0,,R
107488,2014,367.0,367.0,,R
107512,2014,1631.0,1631.0,,R
107521,2014,1953.0,1953.0,,R
107549,2014,1948.0,1948.0,,R
107558,2014,601.0,601.0,,R
107585,2014,2892.0,2892.0,,R
107600,2014,669.0,669.0,,R
107619,2014,2550.0,2550.0,,R
107637,2014,2235.0,2235.0,,R
107655,2014,65.0,65.0,,R
107664,2014,14406.0,14406.0,,R
107725,2014,2069.0,2069.0,,R
107743,2014,1337.0,1337.0,,R
107789,2014,157.0,157.0,,R
107831,2014,151.0,151.0,,R
107840,2014,602.0,602.0,,R
107877,2014,693.0,693.0,,R
107974,2014,2409.0,2409.0,,R
107983,2014,4036.0,3353.0,683.0,R
107992,2014,3449.0,3449.0,,R
108065,2014,26.0,26.0,,R
108092,2014,8162.0,8162.0,,R
108232,2014,19806.0,13267.0,6539.0,R
108250,2014,841.0,841.0,,R
108269,2014,159.0,,159.0,R
108348,2014,95.0,95.0,,R
108649,2014,297.0,297.0,,R
108667,2014,10844.0,10844.0,,R
108807,2014,16691.0,16691.0,,R
108852,2014,297.0,297.0,,R
108861,2014,96.0,,96.0,R
108870,2014,349.0,,349.0,R
108977,2014,150.0,150.0,,R
109040,2014,2940.0,2940.0,,R
109086,2014,108.0,75.0,33.0,R
109208,2014,43334.0,43334.0,,R
109350,2014,18817.0,18817.0,,R
109651,2014,2664.0,2407.0,257.0,R
109721,2014,584.0,584.0,,R
109730,2014,197.0,197.0,,R
109785,2014,12627.0,7229.0,5398.0,R
109819,2014,24908.0,24908.0,,R
109907,2014,4974.0,4974.0,,R
109934,2014,265.0,265.0,,R
110060,2014,412.0,303.0,109.0,R
110097,2014,6791.0,4599.0,2192.0,R
110185,2014,705.0,677.0,28.0,R
110194,2014,312.0,312.0,,R
110219,2014,1912.0,1826.0,86.0,R
110246,2014,15408.0,15408.0,,R
110307,2014,258.0,,258.0,R
110316,2014,1416.0,114.0,1302.0,R
110334,2014,18075.0,18075.0,,R
110361,2014,8819.0,6848.0,1971.0,R
110370,2014,2101.0,1645.0,456.0,R
110398,2014,1145.0,,1145.0,R
110404,2014,2291.0,1014.0,1277.0,R
110413,2014,5110.0,3190.0,1920.0,R
110422,2014,20416.0,19226.0,1190.0,R
110468,2014,5146.0,1583.0,3563.0,R
110486,2014,9896.0,8583.0,1313.0,R
110495,2014,9380.0,8075.0,1305.0,R
110510,2014,19820.0,17167.0,2653.0,R
110529,2014,23663.0,21781.0,1882.0,R
110538,2014,17812.0,16535.0,1277.0,R
110547,2014,15526.0,12977.0,2549.0,R
110556,2014,24172.0,21093.0,3079.0,R
110565,2014,40312.0,34492.0,5820.0,R
110574,2014,16900.0,13961.0,2939.0,R
