UNITID,year,F2D01,F2D16,F2A02,F2A03,total_expenses,change_in_net_assets,expendable_net_assets,assets_to_liabilities,operating_margin,expenses_to_revenue,endowment_boy,endowment_eoy,q_F2D01,q_F2D16,q_F2A02,q_F2A03,q_total_expenses,q_change_in_net_assets,q_expendable_net_assets,q_endowment_eoy,reported_field_count,all_fields_reported
101189,2014,33781384,42846547,89110757.0,42162603.0,44565242.0,-1718695.0,35630143.0,2.113502266451623,-0.04011280068846621,1.0401128006884661,18015943.0,19111352.0,True,True,True,True,True,True,True,True,8,True
101189,2015,35163700,43898314,90370636.0,42826440.0,43302272.0,596042.0,35905968.0,2.110159891879876,0.013577787976094024,0.986422212023906,19111352.0,18222279.0,True,True,True,True,True,True,True,True,8,True
101189,2016,35249374,42434472,85351258.0,40116883.0,44744293.0,-2309821.0,32590004.0,2.127564546826831,-0.054432655601323376,1.0544326556013235,18222279.0,17308614.0,True,True,True,True,True,True,True,True,8,True
101189,2017,35373172,47046532,92214055.0,44569808.0,44636660.0,2409872.0,34899452.0,2.068980306130105,0.05122315923307588,0.9487768407669241,17308614.0,18466329.0,True,True,True,True,True,True,True,True,8,True
101189,2018,34290730,43339948,91698052.0,43965879.0,43252022.0,87926.0,34893702.0,2.0856640214107856,0.0020287518572934143,0.9979712481427065,18466329.0,18900744.0,True,True,True,True,True,True,True,True,8,True
101189,2019,33557876,42795009,89941892.0,42026935.0,43859630.0,-1064621.0,34752145.0,2.140101151797056,-0.024877223416403534,1.0248772234164036,18900744.0,18492390.0,True,True,True,True,True,True,True,True,8,True
101189,2020,32776809,42253708,91818974.0,46977221.0,43624987.0,-1371279.0,11573210.0,1.954542479215618,-0.032453459469166585,1.0324534594691666,18492390.0,17838794.0,True,True,True,True,True,True,True,True,8,True
101189,2021,32348171,57337646,102264403.0,46734766.0,46649762.0,10687884.0,14566559.0,2.1881869056539194,0.1864025600213863,0.8135974399786137,17838794.0,21332492.0,True,True,True,True,True,True,True,True,8,True
101189,2022,35183649,56125958,102873739.0,44476332.0,53258188.0,2867770.0,8911550.0,2.3129996196628806,0.05109525257457521,0.9489047474254247,21332492.0,20765130.0,True,True,True,True,True,True,True,True,8,True
101189,2023,38087618,51433141,102360002.0,44680314.0,52150860.0,-717719.0,12648025.0,2.290941867597439,-0.013954407334368321,1.0139544073343683,20765130.0,20078568.0,True,True,True,True,True,True,True,True,8,True
101189,2024,40809561,71282315,116948965.0,44774798.0,56787836.0,14494479.0,11418028.0,2.611937300085642,0.20333906102797025,0.7966609389720297,20078568.0,23452655.0,True,True,True,True,True,True,True,True,8,True
101365,2017,5683430,5885052,4673136.0,4157413.0,5329517.0,778711.0,515723.0,1.1240490179830582,0.13232015621952023,0.9056023634115722,,,True,True,True,True,True,True,False,True,7,False
101365,2018,7781108,8046384,6830836.0,3736788.0,5491173.0,2578325.0,3094048.0,1.8279966645150862,0.32043275588139963,0.6824398388145532,,,True,True,True,True,True,True,True,True,8,True
101365,2019,7732340,7906395,9435073.0,3717479.0,5294763.0,2623546.0,5717594.0,2.5380299391065826,0.33182581947904194,0.6696810619757804,,,True,True,True,True,True,True,True,True,8,True
101365,2020,8639707,8852352,12409960.0,3585638.0,5762641.0,3106728.0,0.0,3.461018652747433,0.35094944258881705,0.6509728713905638,,,True,True,True,True,True,True,True,True,8,True
101365,2021,8608881,8823445,15858201.0,4204940.0,6034809.0,2828939.0,0.0,3.7713263447278678,0.3206161538945389,0.6839515631366206,,,True,True,True,True,True,True,True,True,8,True
101365,2022,8519742,8765934,18735028.0,5657220.0,7315367.0,1424547.0,0.0,3.311702214161726,0.16250943710048468,0.8345222539891357,,,True,True,True,True,True,True,True,True,8,True
101365,2023,7185066,7531451,20555741.0,7154601.0,7212273.0,323333.0,0.0,2.8730799942582403,0.0429310367949018,0.9576206497260621,,,True,True,True,True,True,True,True,True,8,True
101365,2024,6118925,6556903,21815561.0,8723539.0,6849921.0,-309119.0,0.0,2.5007695844541993,-0.04714405566164392,1.0446884756416253,,,True,True,True,True,True,True,True,True,8,True
101435,2014,10181662,22582643,81389270.0,27527679.0,20052724.0,2529919.0,6940183.0,2.956633939243479,0.11202935812251914,0.8879706418774809,44721770.0,46921408.0,True,True,True,True,True,True,True,True,8,True
101435,2015,10909207,24809140,84633145.0,26677801.0,20715387.0,4093753.0,9669158.0,3.1724183338799175,0.1650098713619255,0.8349901286380745,46921408.0,48278643.0,True,True,True,True,True,True,True,True,8,True
