UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,closed_by_2024,as_of_year
102377,34268271,197024167,588795396.0,38204076.0,143625070.0,64110667.0,173060191.0,164249785.0,0.3253949400024617,0.728971842322267,15.41184757354163,0.11811945808167876,0.8868047247264591,8.090283943751114,8.0,5868147.945454571,-778665.2181818312,822301.2454547154,0.2264378490709603,-0.05864579133699459,0.08576060727842515,19.09883695938071,20.193589307753275,17.458452795630492,18.78271678847598,18.969150022584063,18.916898912436213,0.1739292774170186,0,2019
102395,2961115,4248781,21028943.0,349999.0,6472649.0,544246.0,20678944.0,1000000.0,0.1280946229047814,1.5234131860408904,60.08286595104558,-0.022123097468915,1.016642091536786,63.890198230214395,8.0,-289416.7272727263,-15811.927272724894,-47242.27272727163,-0.4093445151704384,0.15183331696157193,-0.04551628920247013,15.262142911591049,16.86141033243809,12.765688433465597,15.683096165310326,16.844626590829282,13.815511557963774,0.6969328379128037,0,2019
102580,328773,686477,2632965.0,250784.0,977355.0,-290878.0,1445226.0,1411276.0,-0.423725776682977,1.423725776682977,10.498935338777594,0.09879629134826673,1.2085712009744982,9.125469843205643,8.0,-25664.218181818163,-37047.9636363639,-277780.4999999951,-0.38509322890167613,-0.24544478268287845,-0.5363707581350198,13.439329457063403,14.783621525368106,12.432351277339857,13.792606245411795,14.183776960616395,14.160005526238194,0.4789279174684658,0,2019
102669,6251997,25232559,167717678.0,7530239.0,22352124.0,7147046.0,88367678.0,102841132.0,0.2832469746726838,0.8858445154135972,22.27255708616951,0.1572694621929481,1.0549536645721913,9.845574564354553,8.0,803319.3818181838,465050.51818182226,920565.0090910112,0.46208753452549467,0.34901233616413924,0.17354337952348983,17.043645781977986,18.937792641630658,15.834437471778118,16.922431952803972,18.297016838579843,18.44869595741524,0.24777498786389443,0,2019
103945,939037,939037,442416.0,422723.0,2424221.0,1481185.0,0.0,,1.577344662670374,2.5816032808078915,1.046586062267726,0.021600127015790647,1.4359554172325133,2.6832411859902834,7.857142857142857,-653112.4285715504,-246416.64285721252,-405852.607142955,-0.8017270393544706,-0.29575750005083795,-1.0,13.75261122595517,13.000008155215083,12.954474762799716,14.701021206136184,0.0,,1.0,1,2019
104188,3871209,3932392,2772415.0,382510.0,3800728.0,117101.0,2389905.0,,0.0297785673452697,0.9665180887358128,7.247954301848318,0.0297785673452697,0.9665180887358128,7.247954301848318,8.0,,,,,,,15.184758704389912,14.835229700182305,12.854512690005153,15.150703448402535,14.686764592590293,,0.9844412764546363,1,2019
104586,109016000,144103000,,,,,,88191000.0,,,,,,,8.0,8109190.909090957,,,1.3933399767480485,,,18.786038886568303,,,,,18.2950154862932,0.7565144375897795,0,2019
104665,301441,796794,,,,,,27345.0,,,,,,,8.0,-35245.199999994365,,,-0.06531467858806085,,,13.588352710132435,,,,,10.216325544869028,0.3783173568074057,0,2019
105589,13116372,19543004,32723699.0,10226824.0,18525375.0,1017629.0,3217568.0,2759573.0,0.0520712680609388,0.9479287319390612,3.199790961494986,0.04971698617299647,0.9499466488188972,2.357126331103948,8.0,558682.5363636359,402056.9272727286,-974191.8181818096,0.09535610135586932,0.07051861806558514,-0.7057581658499399,16.788127979858263,17.30361014399028,16.140524728074325,16.73465202583653,14.984136663443918,14.830586877954394,0.6711543424951456,0,2019
105899,16483840,33668700,65598503.0,44338599.0,32342481.0,1326219.0,-691742.0,727690.0,0.0393902645483787,0.9606097354516212,1.47948975564158,0.0020994643249757044,0.9979005356750242,1.8204493258142591,8.0,1934707.8727273128,2168980.8636363638,-543122.7909090684,1.8243383310477148,1.6138016404428348,-1.0741014816932677,17.332079210054438,17.999063448776234,17.607366187454595,17.29189215623079,-13.446969778335232,13.49763178652474,0.4895894406377437,0,2019
106306,894002,15062266,34791391.0,3644051.0,14831308.0,-3357806.0,29139200.0,,-0.2229283429199829,0.9846664505858548,9.547448979171806,0.08043736760150594,1.1143333990016409,3.602913818391926,7.818181818181818,81168.26363636008,-198924.1363636469,2738594.2818181906,0.0962045515629518,-0.12845345570342528,2.2095479292615603,16.527703300215837,17.36488055782524,15.108606807293102,16.51225097724511,17.187594939000576,,0.05935375195206352,0,2019
106342,5514140,15490713,123712110.0,98823621.0,41061680.0,33731598.0,-40971842.0,97328611.0,2.1775368248059337,2.6507288592849148,1.251847571948411,0.21846024054258661,1.3017165088187015,2.686353747808405,8.0,-299452.29090916173,1659073.2272727452,-1537732.4363637718,-0.22710794360253203,1.2727696910609858,-8.74104359766823,16.5557513055851,18.633467738794952,18.408847223209687,17.530585908804717,-17.52839563264603,18.393603563538637,0.35596424773992,0,2019
106546,4316511,5245317,,,,,,9429172.0,,,,,,,8.0,65276.55454545249,,,0.04465870105288063,,,15.4728464271453,,,,,16.05931895193036,0.8229266219753735,0,2019
106713,4683363,11216320,25375557.0,10057899.0,10559350.0,656970.0,15317658.0,4456572.0,0.0585726869418846,0.9414273130581152,2.522948082894847,-0.041421363958694606,1.0414309136873114,2.529341964524333,8.0,-230220.1454545313,1346.5090909086455,-401903.55454545835,-0.28897291594056196,0.09185348575002131,-0.23975420850705148,16.232880507675784,17.04929698523223,16.123868953330163,16.172522376020414,16.54451690381206,15.30989064298646,0.4175489821973695,0,2019
106810,1653484,5265920,6321857.0,2451579.0,4538839.0,727081.0,-588591.0,1691754.0,0.1380729293266893,0.8619270706733106,2.5786878579070875,0.015503434027210071,0.9845087539869614,4.701825562155135,8.0,223690.1363636361,213028.15454545495,-321828.90909090877,0.919018100850197,0.8988352226138003,-1.3069605383312795,15.476766617026888,15.659523710259002,14.712243272622764,15.328182030762227,-13.28548852311592,14.341277009609536,0.31399717428293633,0,2019
107044,63715177,133164705,482491851.0,76967301.0,134718822.0,-1554117.0,83142163.0,217276124.0,-0.0116706375011306,1.0116706375011306,6.268790054103625,0.08936999486193392,0.910630005138066,5.619561276246099,8.0,46895.26363640785,925804.5545454738,-12557323.727272516,-0.0016161311420396414,0.14401314437759796,-0.5183593745021661,18.707097310989848,19.994474591554095,18.15889124027824,18.71870037178117,18.236062519835887,19.1966795680445,0.47846895316593085,0,2019
